Rank,Player,REC,Week,Year,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G, FPTS,FPTS/G,ROST,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
12,Dennis Pitta,44,12,2012,68,423,9.6,27,5,4,0,0,0,0,11,88.3,8.0,0.0%,288,6.5,288,6.5,135,3.1,0,0.0,0,17.2%,44,1,0,15,5,0,0,0,27
13,Brandon Pettigrew,54,12,2012,91,513,9.5,24,3,2,0,0,0,2,11,86.3,7.8,0.0%,297,5.5,297,5.5,216,4.0,0,0.0,0,18.3%,54,9,0,23,3,0,0,0,24
14,Scott Chandler,31,12,2012,56,406,13.1,43,7,5,0,0,0,1,11,84.1,7.6,0.0%,276,8.9,276,8.9,130,4.2,0,0.0,0,15.7%,31,4,0,20,7,1,1,0,43
15,Martellus Bennett,39,12,2012,61,455,11.7,33,4,3,0,0,0,0,11,83.0,7.5,23.0%,333,8.5,333,8.5,122,3.1,0,0.0,0,15.4%,39,4,0,21,4,3,0,0,33
16,Jared Cook,37,12,2012,57,452,12.2,61,7,3,0,0,0,1,11,79.7,7.2,0.0%,303,8.2,303,8.2,149,4.0,0,0.0,0,14.6%,37,5,0,15,7,2,1,1,61
17,Brent Celek,43,12,2012,71,528,12.3,34,9,1,0,0,0,1,11,78.3,7.1,0.0%,306,7.1,306,7.1,222,5.2,0,0.0,0,17.7%,43,8,0,25,9,1,0,0,34
18,Antonio Gates,32,12,2012,53,368,11.5,33,4,4,0,0,0,0,10,76.8,7.7,0.2%,273,8.5,273,8.5,95,3.0,0,0.0,0,14.4%,32,4,3,19,4,2,0,0,33
19,Marcedes Lewis,33,12,2012,46,330,10.0,26,5,4,0,0,0,0,11,73.5,6.7,0.1%,163,4.9,163,4.9,167,5.1,0,0.0,0,12.4%,33,4,0,14,5,0,0,0,26
20,Dwayne Allen,34,12,2012,49,385,11.3,27,7,2,1,0,0,0,11,67.5,6.1,0.0%,215,6.3,215,6.3,170,5.0,0,0.0,0,11.1%,34,2,0,19,7,0,0,0,27
21,Jacob Tamme,38,12,2012,61,360,9.5,30,4,2,0,0,0,0,11,67.0,6.1,0.0%,235,6.2,235,6.2,125,3.3,0,0.0,0,15.0%,38,2,0,15,4,1,0,0,30
22,Jermichael Finley,35,12,2012,54,388,11.1,40,6,2,0,0,0,1,11,66.3,6.0,0.0%,231,6.6,231,6.6,157,4.5,0,0.0,0,14.4%,35,8,0,17,6,2,1,0,40
23,Dallas Clark,31,12,2012,45,320,10.3,33,4,3,0,0,0,0,11,65.5,6.0,0.0%,227,7.3,227,7.3,93,3.0,0,0.0,0,13.0%,31,1,0,15,4,1,0,0,33
24,Joel Dreessen,29,12,2012,41,253,8.7,30,3,4,0,0,0,0,11,63.8,5.8,0.0%,147,5.1,147,5.1,106,3.7,0,0.0,0,10.1%,29,2,0,9,3,1,0,0,30
25,Benjamin Watson,28,12,2012,45,255,9.1,27,2,3,0,0,0,0,11,57.5,5.2,2.8%,142,5.1,142,5.1,113,4.0,0,0.0,0,11.5%,28,3,0,14,2,0,0,0,27
26,Dustin Keller,26,12,2012,34,300,11.5,32,6,2,0,0,0,0,7,55.0,7.9,0.0%,221,8.5,221,8.5,79,3.0,0,0.0,0,9.6%,26,2,0,14,6,1,0,0,32
27,Garrett Graham,24,12,2012,34,236,9.8,30,3,3,0,0,0,0,11,53.6,4.9,0.0%,130,5.4,130,5.4,106,4.4,0,0.0,0,9.0%,24,2,0,11,3,1,0,0,30
28,James Casey,28,12,2012,35,269,9.6,30,2,2,1,6,0,0,11,53.5,4.9,0.0%,89,3.2,89,3.2,180,6.4,0,0.0,0,9.3%,28,0,0,14,2,1,0,0,30
29,Anthony Fasano,27,12,2012,45,210,7.8,17,0,3,0,0,0,0,11,52.5,4.8,0.1%,159,5.9,159,5.9,51,1.9,0,0.0,0,12.9%,27,0,0,9,0,0,0,0,17
30,Lance Kendricks,26,12,2012,37,264,10.2,37,3,2,0,0,0,0,11,51.4,4.7,0.0%,180,6.9,180,6.9,84,3.2,0,0.0,0,10.7%,26,3,0,10,3,1,0,0,37
31,Rob Housler,32,12,2012,47,353,11.0,33,5,0,0,0,0,0,11,51.3,4.7,0.0%,200,6.3,200,6.3,153,4.8,0,0.0,0,10.9%,32,3,0,12,5,1,0,0,33
32,Zach Miller,26,12,2012,35,301,11.6,30,6,1,0,0,0,1,11,47.1,4.3,0.0%,213,8.2,213,8.2,88,3.4,0,0.0,0,12.5%,26,0,0,10,6,1,0,0,30
119,Zach Miller,0,12,2012,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,213,8.2,213,8.2,88,3.4,0,0.0,0,12.5%,26,0,0,10,6,1,0,0,30
33,Tony Moeaki,23,12,2012,42,332,14.4,38,6,0,0,0,0,0,11,44.7,4.1,0.0%,224,9.7,224,9.7,108,4.7,0,0.0,0,11.9%,23,3,0,17,6,1,0,0,38
34,Fred Davis,24,12,2012,32,325,13.5,29,4,0,1,1,0,0,7,44.6,6.4,0.0%,193,8.0,193,8.0,132,5.5,0,0.0,0,10.4%,24,2,0,17,4,0,0,0,29
35,Tony Scheffler,24,12,2012,50,299,12.5,57,3,0,0,0,0,0,10,41.9,4.2,0.0%,232,9.7,232,9.7,67,2.8,0,0.0,0,10.0%,24,4,0,13,3,1,1,1,57
36,Aaron Hernandez,19,12,2012,27,179,9.4,28,2,2,1,5,0,0,5,39.9,8.0,0.0%,103,5.4,103,5.4,76,4.0,0,0.0,0,6.5%,19,1,0,7,2,0,0,0,28
37,Tom Crabtree,6,12,2012,9,183,30.5,72,3,3,0,0,0,0,10,39.3,3.9,0.0%,51,8.5,51,8.5,132,22.0,0,0.0,0,2.4%,6,1,0,5,3,2,2,1,72
38,Craig Stevens,19,12,2012,27,233,12.3,46,2,1,0,0,0,0,11,38.8,3.5,0.0%,132,6.9,132,6.9,101,5.3,0,0.0,0,6.9%,19,2,0,11,2,1,1,0,46
39,Logan Paulsen,17,12,2012,26,228,13.4,31,3,1,0,0,0,0,11,37.3,3.4,0.0%,153,9.0,153,9.0,75,4.4,0,0.0,0,8.5%,17,2,0,12,3,1,0,0,31
40,Jeff Cumberland,19,12,2012,31,208,10.9,39,3,1,0,0,0,0,10,36.3,3.6,0.0%,140,7.4,140,7.4,68,3.6,0,0.0,0,8.8%,19,1,0,7,3,1,0,0,39
41,Charles Clay,13,12,2012,26,175,13.5,31,3,2,0,0,0,0,11,36.0,3.3,0.0%,115,8.8,115,8.8,60,4.6,0,0.0,0,7.4%,13,6,0,6,3,1,0,0,31
42,Kellen Davis,14,12,2012,32,185,13.2,25,3,2,0,0,0,1,11,35.5,3.2,0.2%,146,10.4,146,10.4,39,2.8,0,0.0,0,9.8%,14,7,0,10,3,0,0,0,25
43,Coby Fleener,21,12,2012,36,222,10.6,24,3,0,0,0,0,0,7,32.7,4.7,0.0%,136,6.5,136,6.5,86,4.1,0,0.0,0,8.1%,21,3,0,9,3,0,0,0,24
44,Anthony McCoy,12,12,2012,20,120,10.0,22,2,2,0,0,0,0,11,30.0,2.7,0.0%,78,6.5,78,6.5,42,3.5,0,0.0,0,7.1%,12,0,0,5,2,0,0,0,22
45,Delanie Walker,11,12,2012,23,179,16.3,45,4,1,0,0,0,0,11,29.4,2.7,0.1%,136,12.4,136,12.4,43,3.9,0,0.0,0,8.0%,11,6,0,7,4,1,1,0,45
46,Dante Rosario,9,12,2012,16,86,9.6,18,0,3,0,0,0,1,9,29.1,3.2,0.0%,55,6.1,55,6.1,31,3.4,0,0.0,0,4.4%,9,1,0,5,0,0,0,0,18
47,Jordan Cameron,14,12,2012,30,152,10.9,23,2,1,0,0,0,0,11,28.2,2.6,0.1%,82,5.9,82,5.9,70,5.0,0,0.0,0,7.6%,14,2,0,7,2,0,0,0,23
48,Clay Harbor,15,12,2012,25,103,6.9,19,0,1,0,0,0,0,11,23.8,2.2,0.0%,54,3.6,54,3.6,49,3.3,0,0.0,0,6.2%,15,3,0,4,0,0,0,0,19
49,Niles Paul,7,12,2012,10,131,18.7,37,4,1,1,-1,0,0,11,22.5,2.0,0.0%,92,13.1,92,13.1,39,5.6,0,0.0,0,2.9%,7,1,0,4,4,2,0,0,37
50,David Thomas,8,12,2012,14,62,7.8,20,1,2,0,0,0,0,7,22.2,3.2,0.0%,36,4.5,36,4.5,26,3.3,0,0.0,0,3.2%,8,1,0,1,1,0,0,0,20
51,Ed Dickson,14,12,2012,24,152,10.9,40,2,0,0,0,0,0,11,22.2,2.0,0.0%,92,6.6,92,6.6,60,4.3,0,0.0,0,6.1%,14,1,0,5,2,1,1,0,40
52,Jeff King,12,12,2012,17,111,9.3,27,2,0,0,0,0,0,11,17.1,1.6,0.0%,60,5.0,60,5.0,51,4.3,0,0.0,0,3.9%,12,0,0,4,2,0,0,0,27
53,Matthew Mulligan,7,12,2012,8,74,10.6,18,0,1,0,0,0,0,11,16.9,1.5,0.0%,46,6.6,46,6.6,28,4.0,0,0.0,0,2.6%,7,0,0,4,0,0,0,0,18
54,John Phillips,7,12,2012,8,55,7.9,19,0,1,0,0,0,0,11,15.0,1.4,0.0%,50,7.1,50,7.1,5,0.7,0,0.0,0,1.7%,7,0,0,1,0,0,0,0,19
55,Luke Stocker,6,12,2012,14,57,9.5,33,1,1,0,0,0,0,11,14.7,1.3,0.0%,29,4.8,29,4.8,28,4.7,0,0.0,0,4.0%,6,2,0,2,1,1,0,0,33
56,Kevin Boss,3,12,2012,3,65,21.7,29,2,1,0,0,0,0,2,14.0,7.0,0.0%,60,20.0,60,20.0,5,1.7,0,0.0,0,0.9%,3,0,0,3,2,0,0,0,29
57,Todd Heap,8,12,2012,13,94,11.8,28,1,0,0,0,0,0,2,13.4,6.7,0.0%,57,7.1,57,7.1,37,4.6,0,0.0,0,3.0%,8,0,0,5,1,0,0,0,28
58,Gary Barnidge,4,12,2012,4,52,13.0,24,1,1,0,0,0,0,11,13.2,1.2,0.1%,37,9.3,37,9.3,15,3.8,0,0.0,0,1.2%,4,0,0,2,1,0,0,0,24
59,David Ausberry,7,12,2012,11,92,13.1,31,2,0,0,0,0,0,11,12.7,1.2,0.0%,49,7.0,49,7.0,43,6.1,0,0.0,0,2.4%,7,0,0,5,2,1,0,0,31
60,Orson Charles,7,12,2012,8,84,12.0,25,1,0,0,0,0,0,11,11.9,1.1,0.0%,50,7.1,50,7.1,34,4.9,0,0.0,0,2.2%,7,0,0,5,1,0,0,0,25
61,Matt Spaeth,5,12,2012,9,21,4.2,13,0,1,0,0,0,0,11,10.6,1.0,0.0%,11,2.2,11,2.2,10,2.0,0,0.0,0,2.7%,5,1,0,1,0,0,0,0,13
63,Konrad Reuland,7,12,2012,9,68,9.7,18,0,0,0,0,0,0,11,10.3,0.9,0.0%,29,4.1,29,4.1,39,5.6,0,0.0,0,2.5%,7,1,0,4,0,0,0,0,18
64,Bruce Miller,5,12,2012,6,61,12.2,26,1,0,3,15,0,0,11,10.1,0.9,0.0%,19,3.8,19,3.8,42,8.4,0,0.0,0,2.1%,5,1,0,2,1,0,0,0,26
65,Randy McMichael,9,12,2012,12,51,5.7,13,0,0,0,0,0,0,8,9.6,1.2,0.0%,-3,-0.3,-3,-0.3,54,6.0,0,0.0,0,3.3%,9,1,0,2,0,0,0,0,13
66,Bear Pascoe,3,12,2012,7,19,6.3,7,0,1,0,0,0,0,10,9.4,0.9,0.0%,13,4.3,13,4.3,6,2.0,0,0.0,0,1.8%,3,2,0,0,0,0,0,0,7
67,Nate Byham,3,12,2012,3,18,6.0,10,0,1,0,0,0,0,6,9.3,1.6,0.0%,12,4.0,12,4.0,6,2.0,0,0.0,0,0.9%,3,0,0,1,0,0,0,0,10
68,Daniel Fells,3,12,2012,7,77,25.7,35,2,0,0,0,0,0,8,9.2,1.2,0.0%,54,18.0,54,18.0,23,7.7,0,0.0,0,1.7%,3,1,0,3,2,1,0,0,35
69,David Paulson,7,12,2012,9,51,7.3,9,0,0,0,0,0,0,11,8.6,0.8,0.0%,22,3.1,22,3.1,29,4.1,0,0.0,0,2.3%,7,0,0,0,0,0,0,0,9
70,Lee Smith,3,12,2012,3,11,3.7,5,0,1,0,0,0,0,11,8.6,0.8,0.0%,6,2.0,6,2.0,5,1.7,0,0.0,0,0.8%,3,0,0,0,0,0,0,0,5
71,Rhett Ellison,5,12,2012,7,60,12.0,29,1,0,0,0,0,0,11,8.5,0.8,0.0%,-1,-0.2,-1,-0.2,61,12.2,0,0.0,0,2.0%,5,0,0,2,1,0,0,0,29
72,Alex Smith,9,12,2012,14,40,4.4,17,0,0,0,0,0,0,7,8.5,1.2,0.0%,11,1.2,11,1.2,29,3.2,0,0.0,0,3.6%,9,3,0,2,0,0,0,0,17
73,Richard Gordon,2,12,2012,7,9,4.5,8,0,1,0,0,0,0,8,7.9,1.0,0.0%,3,1.5,3,1.5,6,3.0,0,0.0,0,1.6%,2,1,0,0,0,0,0,0,8
75,Ladarius Green,4,12,2012,4,56,14.0,31,1,0,0,0,0,0,3,7.6,2.5,0.0%,14,3.5,14,3.5,42,10.5,0,0.0,0,1.1%,4,0,0,2,1,1,0,0,31
76,Steve Maneri,5,12,2012,9,51,10.2,19,0,0,0,0,0,0,8,7.6,1.0,0.0%,21,4.2,21,4.2,30,6.0,0,0.0,0,2.6%,5,0,0,3,0,0,0,0,19
77,Dorin Dickerson,4,12,2012,5,53,13.3,24,1,0,1,-8,0,0,8,6.5,0.8,0.0%,5,1.3,5,1.3,48,12.0,0,0.0,0,1.4%,4,1,0,3,1,0,0,0,24
78,Will Heller,4,12,2012,6,43,10.8,17,0,0,0,0,0,0,11,6.3,0.6,0.0%,15,3.8,15,3.8,28,7.0,0,0.0,0,1.2%,4,1,0,2,0,0,0,0,17
79,Virgil Green,3,12,2012,3,44,14.7,28,1,0,0,0,0,0,7,5.9,0.8,0.0%,-2,-0.7,-2,-0.7,46,15.3,0,0.0,0,0.7%,3,0,0,2,1,0,0,0,28
80,D.J. Williams,4,12,2012,10,37,9.3,12,0,0,0,0,0,0,9,5.7,0.6,0.0%,10,2.5,10,2.5,27,6.8,0,0.0,0,2.7%,4,3,0,2,0,0,0,0,12
81,John Carlson,5,12,2012,9,26,5.2,11,0,0,0,0,0,0,9,5.1,0.6,0.0%,9,1.8,9,1.8,17,3.4,0,0.0,0,2.5%,5,1,0,1,0,0,0,0,11
82,Mike McNeill,4,12,2012,5,31,7.8,10,0,0,0,0,0,0,11,5.1,0.5,0.0%,16,4.0,16,4.0,15,3.8,0,0.0,0,1.4%,4,0,0,1,0,0,0,0,10
83,Kyle Adams,3,12,2012,5,31,10.3,17,0,0,0,0,0,0,10,4.6,0.5,0.0%,26,8.7,26,8.7,5,1.7,0,0.0,0,1.5%,3,1,0,1,0,0,0,0,17
84,Michael Palmer,4,12,2012,4,17,4.3,6,0,0,0,0,0,0,8,3.7,0.5,0.0%,3,0.8,3,0.8,14,3.5,0,0.0,0,0.9%,4,0,0,0,0,0,0,0,6
85,Taylor Thompson,3,12,2012,7,19,6.3,7,0,0,0,0,0,0,11,3.4,0.3,0.0%,8,2.7,8,2.7,11,3.7,0,0.0,0,1.8%,3,1,0,0,0,0,0,0,7
86,Jake O'Connell,3,12,2012,3,18,6.0,11,0,0,0,0,0,0,2,3.3,1.7,0.0%,10,3.3,10,3.3,8,2.7,0,0.0,0,0.9%,3,0,0,1,0,0,0,0,11
89,Weslye Saunders,2,12,2012,4,15,7.5,11,0,0,0,0,0,0,6,2.5,0.4,0.0%,13,6.5,13,6.5,2,1.0,0,0.0,0,0.9%,2,0,0,1,0,0,0,0,11
95,Tommy Gallarda,1,12,2012,4,7,7.0,7,0,0,0,0,0,0,9,1.2,0.1,0.0%,6,6.0,6,6.0,1,1.0,0,0.0,0,0.9%,1,0,0,0,0,0,0,0,7
96,Evan Moore,1,12,2012,6,6,6.0,6,0,0,0,0,0,0,5,1.1,0.2,0.0%,2,2.0,2,2.0,4,4.0,0,0.0,0,2.1%,1,1,0,0,0,0,0,0,6
97,Zach Potter,1,12,2012,4,4,4.0,4,0,0,0,0,0,0,11,0.9,0.1,0.0%,2,2.0,2,2.0,2,2.0,0,0.0,0,1.1%,1,1,0,0,0,0,0,0,4
1,Rob Gronkowski,53,11,2012,76,748,14.1,41,12,10,0,0,0,1,10,159.3,15.9,1.7%,457,8.6,457,8.6,291,5.5,0,0.0,0,19.4%,53,6,0,34,12,4,1,0,41
2,Tony Gonzalez,64,11,2012,87,650,10.2,25,2,6,0,0,0,0,10,133.0,13.3,0.0%,473,7.4,473,7.4,177,2.8,0,0.0,0,22.1%,64,3,0,34,2,0,0,0,25
3,Jimmy Graham,51,11,2012,77,562,11.0,46,7,8,0,0,0,0,9,129.7,14.4,0.0%,373,7.3,373,7.3,189,3.7,0,0.0,0,19.5%,51,9,0,25,7,1,1,0,46
4,Jason Witten,73,11,2012,98,636,8.7,35,4,1,0,0,0,0,10,106.1,10.6,0.0%,432,5.9,432,5.9,204,2.8,0,0.0,0,24.6%,73,7,0,23,4,1,0,0,35
5,Heath Miller,45,11,2012,62,453,10.1,30,5,6,0,0,0,0,10,105.8,10.6,0.0%,274,6.1,274,6.1,179,4.0,0,0.0,0,17.1%,45,2,0,18,5,1,0,0,30
6,Owen Daniels,43,11,2012,65,535,12.4,39,7,5,0,0,0,0,9,105.0,11.7,0.0%,308,7.2,308,7.2,227,5.3,0,0.0,0,19.7%,43,3,0,23,7,2,0,0,39
7,Brandon Myers,50,11,2012,67,554,11.1,29,7,3,0,0,0,0,10,98.4,9.8,0.0%,320,6.4,320,6.4,234,4.7,0,0.0,0,16.1%,50,5,0,26,7,0,0,0,29
8,Vernon Davis,35,11,2012,49,487,13.9,53,11,5,0,0,0,0,10,96.2,9.6,1.6%,327,9.3,327,9.3,160,4.6,0,0.0,0,18.5%,35,1,0,21,11,2,1,1,53
9,Greg Olsen,45,11,2012,69,539,12.0,34,6,3,0,0,0,0,10,94.4,9.4,7.0%,384,8.5,384,8.5,155,3.4,0,0.0,0,23.0%,45,4,0,25,6,2,0,0,34
10,Jermaine Gresham,43,11,2012,63,517,12.0,55,5,3,0,0,0,0,10,91.2,9.1,0.0%,224,5.2,224,5.2,293,6.8,0,0.0,0,18.5%,43,6,0,23,5,2,2,2,55
11,Kyle Rudolph,34,11,2012,59,306,9.0,29,2,6,0,0,0,0,10,85.6,8.6,1.3%,165,4.9,165,4.9,141,4.1,0,0.0,0,18.8%,34,5,0,15,2,0,0,0,29
12,Scott Chandler,29,11,2012,53,380,13.1,43,7,5,0,0,0,1,10,80.5,8.1,0.0%,258,8.9,258,8.9,122,4.2,0,0.0,0,16.4%,29,4,0,18,7,1,1,0,43
13,Martellus Bennett,36,11,2012,58,411,11.4,33,4,3,0,0,0,0,10,77.1,7.7,23.0%,300,8.3,300,8.3,111,3.1,0,0.0,0,15.9%,36,4,0,18,4,3,0,0,33
14,Brandon Pettigrew,46,11,2012,76,439,9.5,24,2,2,0,0,0,1,10,76.9,7.7,0.0%,237,5.2,237,5.2,202,4.4,0,0.0,0,17.4%,46,7,0,20,2,0,0,0,24
15,Brent Celek,41,11,2012,68,509,12.4,34,9,1,0,0,0,1,10,75.4,7.5,0.0%,289,7.0,289,7.0,220,5.4,0,0.0,0,17.8%,41,8,0,24,9,1,0,0,34
16,Dennis Pitta,38,11,2012,59,381,10.0,27,5,3,0,0,0,0,10,75.1,7.5,0.0%,259,6.8,259,6.8,122,3.2,0,0.0,0,17.2%,38,1,0,13,5,0,0,0,27
17,Antonio Gates,30,11,2012,51,355,11.8,33,4,4,0,0,0,0,9,74.5,8.3,0.2%,262,8.7,262,8.7,93,3.1,0,0.0,0,15.2%,30,4,3,18,4,2,0,0,33
18,Jared Cook,31,11,2012,49,405,13.1,61,7,3,0,0,0,1,10,72.0,7.2,0.0%,275,8.9,275,8.9,130,4.2,0,0.0,0,14.0%,31,4,0,13,7,2,1,1,61
19,Marcedes Lewis,29,11,2012,40,274,9.4,26,3,4,0,0,0,0,10,65.9,6.6,0.1%,122,4.2,122,4.2,152,5.2,0,0.0,0,11.6%,29,3,0,12,3,0,0,0,26
20,Joel Dreessen,27,11,2012,38,250,9.3,30,3,4,0,0,0,0,10,62.5,6.3,0.0%,144,5.3,144,5.3,106,3.9,0,0.0,0,10.3%,27,1,0,9,3,1,0,0,30
21,Dwayne Allen,31,11,2012,43,349,11.3,27,6,2,1,0,0,0,10,62.4,6.2,0.0%,196,6.3,196,6.3,153,4.9,0,0.0,0,10.6%,31,2,0,17,6,0,0,0,27
22,Jermichael Finley,32,11,2012,49,337,10.5,40,5,2,0,0,0,1,10,59.7,6.0,0.0%,189,5.9,189,5.9,148,4.6,0,0.0,0,14.0%,32,7,0,15,5,2,1,0,40
23,Dallas Clark,27,11,2012,41,255,9.4,33,2,3,0,0,0,0,10,57.0,5.7,0.0%,185,6.9,185,6.9,70,2.6,0,0.0,0,13.0%,27,1,0,12,2,1,0,0,33
24,Jacob Tamme,34,11,2012,54,312,9.2,30,3,1,0,0,0,0,10,54.2,5.4,0.0%,208,6.1,208,6.1,104,3.1,0,0.0,0,14.6%,34,2,0,13,3,1,0,0,30
25,Benjamin Watson,25,11,2012,42,229,9.2,27,2,3,0,0,0,0,10,53.4,5.3,2.8%,123,4.9,123,4.9,106,4.2,0,0.0,0,11.4%,25,3,0,12,2,0,0,0,27
26,Anthony Fasano,26,11,2012,44,200,7.7,17,0,3,0,0,0,0,10,51.0,5.1,0.1%,149,5.7,149,5.7,51,2.0,0,0.0,0,13.5%,26,0,0,8,0,0,0,0,17
27,Garrett Graham,21,11,2012,29,219,10.4,30,3,3,0,0,0,0,10,50.4,5.0,0.0%,127,6.0,127,6.0,92,4.4,0,0.0,0,8.8%,21,1,0,10,3,1,0,0,30
28,James Casey,24,11,2012,30,231,9.6,30,2,2,1,6,0,0,10,47.7,4.8,0.0%,79,3.3,79,3.3,152,6.3,0,0.0,0,9.1%,24,0,0,12,2,1,0,0,30
29,Fred Davis,24,11,2012,32,325,13.5,29,4,0,1,1,0,0,7,44.6,6.4,0.0%,193,8.0,193,8.0,132,5.5,0,0.0,0,11.3%,24,2,0,17,4,0,0,0,29
30,Zach Miller,23,11,2012,32,285,12.4,30,6,1,0,0,0,1,10,44.0,4.4,0.0%,202,8.8,202,8.8,83,3.6,0,0.0,0,12.6%,23,0,0,10,6,1,0,0,30
119,Zach Miller,0,11,2012,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%,202,8.8,202,8.8,83,3.6,0,0.0,0,12.6%,23,0,0,10,6,1,0,0,30
31,Lance Kendricks,25,11,2012,35,227,9.1,26,2,1,0,0,0,0,10,41.2,4.1,0.0%,163,6.5,163,6.5,64,2.6,0,0.0,0,10.6%,25,3,0,9,2,0,0,0,26
32,Dustin Keller,21,11,2012,27,236,11.2,32,4,1,0,0,0,0,6,40.1,6.7,0.0%,165,7.9,165,7.9,71,3.4,0,0.0,0,8.5%,21,2,0,11,4,1,0,0,32
33,Tony Moeaki,21,11,2012,40,292,13.9,38,5,0,0,0,0,0,10,39.7,4.0,0.0%,216,10.3,216,10.3,76,3.6,0,0.0,0,12.3%,21,3,0,15,5,1,0,0,38
34,Tom Crabtree,6,11,2012,9,183,30.5,72,3,3,0,0,0,0,9,39.3,4.4,0.0%,51,8.5,51,8.5,132,22.0,0,0.0,0,2.6%,6,1,0,5,3,2,2,1,72
35,Rob Housler,24,11,2012,36,271,11.3,33,4,0,0,0,0,0,10,39.1,3.9,0.0%,148,6.2,148,6.2,123,5.1,0,0.0,0,9.5%,24,2,0,10,4,1,0,0,33
36,Craig Stevens,18,11,2012,26,221,12.3,46,2,1,0,0,0,0,10,37.1,3.7,0.0%,123,6.8,123,6.8,98,5.4,0,0.0,0,7.4%,18,2,0,10,2,1,1,0,46
37,Aaron Hernandez,17,11,2012,24,143,8.4,23,1,2,1,5,0,0,4,35.3,8.8,0.0%,88,5.2,88,5.2,55,3.2,0,0.0,0,6.1%,17,1,0,6,1,0,0,0,23
38,Logan Paulsen,15,11,2012,23,217,14.5,31,3,1,0,0,0,0,10,35.2,3.5,0.0%,146,9.7,146,9.7,71,4.7,0,0.0,0,8.2%,15,1,0,12,3,1,0,0,31
39,Tony Scheffler,19,11,2012,44,242,12.7,57,3,0,0,0,0,0,9,33.7,3.7,0.0%,196,10.3,196,10.3,46,2.4,0,0.0,0,10.1%,19,4,0,9,3,1,1,1,57
40,Kellen Davis,13,11,2012,28,170,13.1,25,3,2,0,0,0,1,10,33.5,3.4,0.2%,133,10.2,133,10.2,37,2.8,0,0.0,0,9.4%,13,5,0,9,3,0,0,0,25
41,Coby Fleener,21,11,2012,36,222,10.6,24,3,0,0,0,0,0,7,32.7,4.7,0.0%,136,6.5,136,6.5,86,4.1,0,0.0,0,8.8%,21,3,0,9,3,0,0,0,24
42,Dante Rosario,9,11,2012,16,86,9.6,18,0,3,0,0,0,1,9,29.1,3.2,0.0%,55,6.1,55,6.1,31,3.4,0,0.0,0,4.8%,9,1,0,5,0,0,0,0,18
43,Jeff Cumberland,15,11,2012,27,150,10.0,27,2,1,0,0,0,0,9,28.5,3.2,0.0%,104,6.9,104,6.9,46,3.1,0,0.0,0,8.5%,15,1,0,6,2,0,0,0,27
44,Clay Harbor,15,11,2012,25,103,6.9,19,0,1,0,0,0,0,10,23.8,2.4,0.0%,54,3.6,54,3.6,49,3.3,0,0.0,0,6.6%,15,3,0,4,0,0,0,0,19
45,Ed Dickson,14,11,2012,24,152,10.9,40,2,0,0,0,0,0,10,22.2,2.2,0.0%,92,6.6,92,6.6,60,4.3,0,0.0,0,7.0%,14,1,0,5,2,1,1,0,40
46,Anthony McCoy,10,11,2012,17,97,9.7,22,1,1,0,0,0,0,10,20.7,2.1,0.0%,58,5.8,58,5.8,39,3.9,0,0.0,0,6.7%,10,0,0,4,1,0,0,0,22
47,Jordan Cameron,12,11,2012,28,140,11.7,23,2,0,0,0,0,0,10,20.0,2.0,0.1%,75,6.3,75,6.3,65,5.4,0,0.0,0,7.6%,12,2,0,7,2,0,0,0,23
48,Delanie Walker,8,11,2012,20,98,12.3,25,2,1,0,0,0,0,10,19.8,2.0,0.1%,79,9.9,79,9.9,19,2.4,0,0.0,0,7.5%,8,6,0,4,2,0,0,0,25
49,Charles Clay,7,11,2012,20,91,13.0,31,2,1,0,0,0,0,10,18.6,1.9,0.0%,38,5.4,38,5.4,53,7.6,0,0.0,0,6.2%,7,6,0,3,2,1,0,0,31
50,Jeff King,11,11,2012,16,102,9.3,27,2,0,0,0,0,0,10,15.7,1.6,0.0%,51,4.6,51,4.6,51,4.6,0,0.0,0,4.2%,11,0,0,4,2,0,0,0,27
51,John Phillips,7,11,2012,8,55,7.9,19,0,1,0,0,0,0,10,15.0,1.5,0.0%,50,7.1,50,7.1,5,0.7,0,0.0,0,2.0%,7,0,0,1,0,0,0,0,19
52,Matthew Mulligan,6,11,2012,7,59,9.8,18,0,1,0,0,0,0,10,14.9,1.5,0.0%,35,5.8,35,5.8,24,4.0,0,0.0,0,2.5%,6,0,0,3,0,0,0,0,18
53,Kevin Boss,3,11,2012,3,65,21.7,29,2,1,0,0,0,0,2,14.0,7.0,0.0%,60,20.0,60,20.0,5,1.7,0,0.0,0,0.9%,3,0,0,3,2,0,0,0,29
54,Luke Stocker,5,11,2012,11,52,10.4,33,1,1,0,0,0,0,10,13.7,1.4,0.0%,27,5.4,27,5.4,25,5.0,0,0.0,0,3.5%,5,1,0,2,1,1,0,0,33
